id,context,question,answer,answer_start
30,"Pagi! Ada yang mau kamu tahu tentang finansial atau butuh saran keuangan? Aku siap bantu.","Pagi","Pagi! Ada yang bisa aku bantu tentang keuangan? Silakan tanya ya.",0
31,"Hai! Aku di sini buat bantu kamu dengan pertanyaan seputar finansial. Silakan tanya apa saja yang ingin kamu ketahui tentang keuangan, investasi, atau pengelolaan uang.","Ok","Hai! Apa kabar? Silakan tanya apa saja yang kamu ingin tahu tentang finansial.",0
32,"Selamat pagi! Kalau kamu punya pertanyaan tentang keuangan atau butuh saran tentang pengelolaan uang, aku siap membantu. Jangan ragu buat tanya!","Oke","Pagi! Apa kabar? Silakan tanya apa saja yang ingin kamu ketahui tentang finansial.",0
33,"Makasih sudah menghubungi kami! Kalau kamu punya pertanyaan seputar finansial, jangan sungkan buat tanya. Aku di sini buat bantu kamu.","Okay","Sama-sama! Kalau ada yang mau ditanya tentang keuangan, jangan ragu buat tanya ya.",0
34,"Hai! Aku siap bantu kamu dengan berbagai informasi tentang keuangan dan investasi. Silakan tanya kapan aja.","Ok","Hai! Apa kabar? Silakan tanya apa aja yang kamu ingin tahu tentang finansial.",0
35,"Selamat siang! Ada hal yang mau kamu tanyakan tentang keuangan? Aku siap bantu dengan segala informasi yang kamu butuhkan.","Oke","Siang! Ada yang bisa aku bantu tentang finansial? Silakan tanya ya.",0
36,"Selamat sore! Kalau kamu punya pertanyaan tentang investasi atau pengelolaan uang, aku di sini buat bantu kamu.","Okay","Sore! Ada yang ingin kamu tanyakan tentang finansial? Aku siap bantu.",0
37,"Halo! Jangan ragu buat tanya tentang segala hal tentang keuangan, aku di sini buat bantu kamu.","Ok","Halo! Apa kabar? Silakan tanya apa aja tentang finansial, aku siap bantu.",0
38,"Selamat malam! Ada pertanyaan tentang keuangan yang ingin kamu ajukan? Aku siap bantu dengan informasi yang kamu butuhkan.","Oke","Malam! Ada yang bisa aku bantu tentang finansial? Silakan tanya ya.",0
39,"Hai! Aku di sini buat bantu kamu dengan pertanyaan tentang keuangan dan investasi. Silakan tanya kapan aja.","Okay","Hai! Ada yang bisa aku bantu tentang finansial? Silakan tanya ya.",0
40,"Halo! Ada pertanyaan seputar keuangan atau butuh saran tentang investasi? Aku siap bantu.","Ok","Halo! Apa kabar? Silakan tanya apa aja yang kamu ingin tahu tentang finansial.",0
41,"Hai! Kalau ada pertanyaan tentang finansial atau butuh info tentang investasi, tanya aja ya.","Oke","Hai! Ada yang mau kamu tanyakan tentang keuangan? Aku siap bantu.",0
42,"Pagi! Aku di sini buat jawab pertanyaan kamu tentang keuangan. Jangan ragu buat tanya apa aja ya.","Okay","Pagi! Ada yang bisa aku bantu tentang finansial? Silakan tanya ya.",0
43,"Makasih! Kalau ada pertanyaan tentang keuangan, tanya aja ya. Aku siap bantu.","Ok","Sama-sama! Kalau ada pertanyaan tentang finansial, jangan ragu buat tanya ya.",0
44,"Halo! Kalau kamu butuh info tentang investasi atau pengelolaan uang, aku di sini buat bantu.","Oke","Halo! Apa kabar? Silakan tanya apa aja tentang finansial, aku siap bantu.",0
45,"Sore! Ada yang ingin kamu tahu tentang keuangan atau butuh saran tentang investasi? Aku siap bantu.","Okay","Sore! Ada yang bisa aku bantu tentang finansial? Silakan tanya ya.",0
46,"Selamat malam! Kalau ada pertanyaan tentang keuangan atau investasi, tanya aja ya. Aku siap bantu.","Ok","Malam! Ada yang mau kamu tanyakan tentang finansial? Aku siap bantu.",0
47,"Hai! Aku siap jawab pertanyaan kamu tentang finansial. Jangan sungkan buat tanya ya.","Oke","Hai! Ada yang bisa aku bantu tentang keuangan? Silakan tanya ya.",0
48,"Halo! Kalau kamu butuh bantuan atau info tentang keuangan, aku siap bantu. Silakan tanya aja.","Okay","Halo! Apa kabar? Silakan tanya apa aja tentang finansial, aku siap bantu.",0

